ID,Year,StateAbbreviation,None,D0,D1,D2,D3,D4,StatisticFormatID
275,2010,DE,"1,611.50",438.47,0,0,0,0,1
276,2010,DE,161.71,"1,888.26",761.82,0,0,0,1
277,2010,DE,"2,049.97",0,0,0,0,0,1
278,2010,DE,297.27,"1,752.70",0,0,0,0,1
279,2010,DE,54.59,"1,995.38",234.75,0,0,0,1
280,2010,DE,990.33,"1,059.64",660.27,212.49,0,0,1
281,2010,DE,999.08,"1,050.89",660.27,130.42,0,0,1
282,2010,DE,999.08,"1,050.89",660.27,212.49,0,0,1
283,2010,DE,999.88,"1,050.09",659.42,0,0,0,1
284,2010,FL,103.92,"56,410.80","46,768.81","23,018.18","9,949.94",0,1
285,2010,FL,103.92,"56,410.80","47,332.38","26,704.96","11,371.47",0,1
286,2010,FL,103.92,"56,410.80","48,624.22","28,731.88","11,420.91",0,1
287,2010,FL,"12,002.82","44,511.90","23,585.04","13,554.52","2,207.28",0,1
288,2010,FL,"18,625.23","37,889.49","18,456.60","11,778.62","1,108.21",0,1
289,2010,FL,"2,307.25","54,207.47","39,069.30","17,079.25","4,468.21",0,1
290,2010,FL,"23,467.63","33,047.09","14,998.29","5,155.14",0,0,1
291,2010,FL,"31,067.28","25,447.44","10,028.90","2,384.18",0,0,1
292,2010,FL,"31,067.28","25,447.44","10,184.37","2,384.18",0,0,1
293,2010,FL,"31,130.86","25,383.86","14,333.79","3,378.46",0,0,1
294,2010,FL,"38,674.97","17,839.75","5,081.78",728.74,0,0,1
295,2010,FL,"4,792.09","51,722.62","27,951.89","14,875.89","1,113.53",0,1
296,2010,FL,"40,143.15","16,371.57","2,858.08",0,0,0,1
297,2010,FL,"40,189.22","16,325.50","2,797.67",0,0,0,1
298,2010,FL,"41,629.09","14,885.63","2,250.23",0,0,0,1
299,2010,FL,"42,129.24","14,385.48","1,740.53",0,0,0,1
300,2010,FL,"42,129.24","14,385.48","2,524.56",0,0,0,1
301,2010,FL,"49,805.21","6,709.51","1,156.71",0,0,0,1
302,2010,FL,"5,521.86","50,992.86","27,010.57","13,927.38","1,113.53",0,1
303,2010,FL,"50,615.33","5,899.39",0,0,0,0,1
304,2010,FL,"52,289.56","4,225.16",0,0,0,0,1
305,2010,FL,"53,449.69","3,065.03",0,0,0,0,1
306,2010,FL,"53,495.88","3,018.84",0,0,0,0,1
307,2010,FL,"53,979.08","2,535.64",0,0,0,0,1
308,2010,FL,536.31,"55,978.41","41,573.01","19,607.33","7,845.28",0,1
309,2010,FL,"54,980.81","1,533.91",0,0,0,0,1
310,2010,FL,"55,390.75","1,123.97",0,0,0,0,1
311,2010,FL,"55,401.68","1,113.04",0,0,0,0,1
312,2010,FL,"56,514.72",0,0,0,0,0,1
313,2010,FL,"6,554.88","49,959.84","27,537.95","17,032.45","2,419.76",0,1
314,2010,FL,"6,554.88","49,959.84","28,746.71","16,739.01","2,430.68",0,1
315,2010,GA,0.03,"58,777.22","50,714.46","22,341.40",0,0,1
316,2010,GA,0.03,"58,777.22","52,966.95","23,053.29",0,0,1
317,2010,GA,0.22,"58,777.03","23,857.75",0,0,0,1
318,2010,GA,"1,116.54","57,660.71","50,175.21","24,343.57","4,750.58",0,1
319,2010,GA,"1,116.54","57,660.71","51,910.96","23,048.90","3,706.23",0,1
320,2010,GA,"1,420.24","57,357.01","50,175.21","23,710.09","3,812.84",0,1
321,2010,GA,"1,420.24","57,357.01","50,175.21","24,343.57","4,494.81",0,1
322,2010,GA,"18,863.00","39,914.25","5,937.54",0,0,0,1
323,2010,GA,"2,823.07","55,954.18","23,062.96","3,004.91",0,0,1
324,2010,GA,"27,099.05","31,678.20","5,937.54",0,0,0,1
325,2010,GA,"27,662.54","31,114.71",0,0,0,0,1
326,2010,GA,"3,024.18","55,753.07","24,303.65","11,666.46",1.85,0,1
327,2010,GA,"3,024.18","55,753.07","26,450.83","11,305.37",0,0,1
328,2010,GA,"3,024.18","55,753.07","26,814.73","11,666.55",0,0,1
329,2010,GA,"31,459.77","27,317.48","5,885.69",0,0,0,1
330,2010,GA,"34,222.71","24,554.54",86.15,0,0,0,1
331,2010,GA,"34,843.82","23,933.43","5,885.69",0,0,0,1
332,2010,GA,"36,178.55","22,598.71",272.96,0,0,0,1
333,2010,GA,"4,706.68","54,070.57","23,220.72",0,0,0,1
334,2010,GA,"5,665.61","53,111.64","27,580.43","7,182.00",1.85,0,1
335,2010,GA,"5,679.99","53,097.26","26,763.48","5,405.25",0,0,1
336,2010,GA,"54,988.27","3,788.98",0,0,0,0,1
337,2010,GA,"57,138.28","1,638.97",0,0,0,0,1
338,2010,GA,"57,194.23","1,583.02",0,0,0,0,1
339,2010,GA,"57,772.29","1,004.96",0,0,0,0,1
340,2010,GA,"57,892.50",884.75,0,0,0,0,1
341,2010,GA,"58,012.73",764.53,0,0,0,0,1
342,2010,GA,"58,681.29",95.97,0,0,0,0,1
343,2010,GA,"58,737.87",39.38,0,0,0,0,1
344,2010,GA,"58,768.65",8.6,0,0,0,0,1
345,2010,GA,"58,775.70",1.55,0,0,0,0,1
346,2010,GA,"58,777.25",0,0,0,0,0,1
347,2010,GA,"6,459.10","52,318.15","21,649.89","2,375.28",0,0,1
348,2010,GA,"6,459.10","52,318.15","21,891.62","2,375.28",0,0,1
349,2010,HI,0,"6,472.07","4,715.96","2,873.24","1,979.32",329.65,1
350,2010,HI,0,"6,472.07","4,722.68","2,916.96","1,837.96",330.63,1
351,2010,HI,0,"6,472.07","4,959.59","2,766.55","1,979.32",198.82,1
352,2010,HI,"1,353.76","5,118.32","3,876.41","2,973.85","1,870.58",266.91,1
353,2010,HI,"1,520.35","4,951.73","3,706.27","2,838.93","1,795.26",237.76,1
354,2010,HI,"1,520.92","4,951.15","3,706.10","2,838.93","1,795.26",237.76,1
355,2010,HI,"1,968.06","4,504.01","3,485.02","2,388.31",411.08,0,1
356,2010,HI,112.51,"6,359.56","4,403.11","2,816.74","1,978.73",330.63,1
357,2010,HI,112.51,"6,359.56","4,488.10","2,846.19","1,978.73",330.63,1
358,2010,HI,14.36,"6,457.71","3,485.02","2,387.54",633.12,0,1
359,2010,HI,141.49,"6,330.59","4,402.14","2,816.74","1,978.73",330.63,1
360,2010,HI,141.49,"6,330.59","4,468.04","2,846.19","1,978.73",330.63,1
361,2010,HI,141.49,"6,330.59","4,471.97","2,846.19","1,978.73",330.63,1
362,2010,HI,141.49,"6,330.59","4,473.41","2,846.19","1,978.73",330.63,1
363,2010,HI,141.49,"6,330.59","4,782.20","3,028.08","2,041.86",330.63,1
364,2010,HI,141.49,"6,330.59","4,785.86","3,028.08","2,008.60",330.63,1
365,2010,HI,151.7,"6,320.38","4,279.17","2,983.82","1,875.57",418.23,1
366,2010,HI,"2,051.72","4,420.35","3,251.09","2,663.09","1,534.34",198.82,1
367,2010,HI,"2,051.72","4,420.35","3,284.90","2,767.17","1,623.63",198.82,1
368,2010,HI,"2,051.72","4,420.35","3,333.57","2,672.99","1,534.34",198.82,1
369,2010,HI,"2,061.14","4,410.94","3,209.63","2,686.92","1,623.63",198.82,1
370,2010,HI,"2,063.46","4,408.61","3,062.77","2,189.46",671.48,28.9,1
371,2010,HI,"2,129.47","4,342.60","3,197.28","2,737.32","1,623.63",198.82,1
372,2010,HI,"2,131.18","4,340.89","3,178.04","2,686.92","1,623.63",198.82,1
373,2010,HI,"2,131.29","4,340.78","3,195.15","2,737.32","1,623.63",198.82,1
374,2010,HI,"2,132.74","4,339.33","3,277.67","2,394.97","1,088.20",169.5,1
375,2010,HI,"2,132.74","4,339.33","3,277.70","2,394.97","1,088.20",169.51,1
376,2010,HI,"2,188.37","4,283.71","3,176.28","2,316.28",904.95,64.9,1
377,2010,HI,"2,188.37","4,283.71","3,178.94","2,316.28",904.95,64.9,1
378,2010,HI,"2,188.37","4,283.71","3,183.61","2,316.28",968.08,64.9,1
379,2010,HI,"2,443.95","4,028.13","2,832.01","2,084.87",673.07,0,1
380,2010,HI,"2,845.75","3,626.32","2,573.09","1,959.89",282.54,0,1
381,2010,HI,"2,991.59","3,480.48","2,355.91","1,326.54",157.06,0,1
382,2010,HI,258.96,"6,213.11","4,667.26","2,789.39","1,847.81",359.52,1
383,2010,HI,258.97,"6,213.11","4,671.31","2,789.39","1,847.81",359.52,1
384,2010,HI,28.97,"6,443.10","4,708.94","2,873.24","1,979.32",198.82,1
385,2010,HI,28.97,"6,443.10","4,708.94","2,873.24","1,979.32",329.64,1
386,2010,HI,28.97,"6,443.10","4,712.41","2,873.24","1,979.31",198.82,1
